Order;json_key (MiMeDat);fortran_type;fortran_variable (ICAMS CP-UMAT);default_value;block;access_mode;required_if;active_if;unit;since_version;comment
1;flag_isotropic_hardening;integer;Ihard_iso;1;flags;metadata;always;always;-;0.1.0;flag for isotropic hardening
2;flag_back_stress;integer;Iwkcoup_bk;0;flags;metadata;always;always;-;0.1.0;flag for back stress / kinematic hardening (0: None, 1: Frederick-Armstrong, 2: Chaboche, 3: Ohno-Wang
3;flag_gradient_plasticity;integer;Iwkcoup_grad;0;flags;metadata;always;always;-;0.1.0;flag for strain gradient plasticity (0: off, 1: active)
4;flag_int;integer;Iwkcoup_int;0;flags;metadata;always;always;-;0.1.0;flag for internal stress (superalloys) (0: off, 1: active)
5;flag_super_alloy;integer;Iwkcoup_sup;0;flags;metadata;always;always;-;0.1.0;flag for superalloy(0: off, 1: active)
6;flag_trip;integer;Iwkcoup_trip;0;flags;metadata;always;always;-;0.1.0;flag for TRIP effect (0: off, 1: active)
7;flag_thermal;integer;Iwkcoup_temp;0;flags;metadata;always;always;-;0.1.0;flag to activate temperature dependent parameters
8;C11;real;c11;250000;elastic;always;always;always;MPa;0.1.0;anisotropic elastic coefficient
9;C12;real;c12;150000;elastic;always;always;always;MPa;0.1.0;anisotropic elastic coefficient
10;C44;real;c44;120000;elastic;always;always;always;MPa;0.1.0;anisotropic elastic coefficient
11;C33;real;;0;elastic;optional;never;provided;MPa;0.1.0;anisotropic elastic coefficient
12;C66;real;;0;elastic;optional;never;provided;MPa;0.1.0;anisotropic elastic coefficient
13;C13;real;;0;elastic;optional;never;provided;MPa;0.1.0;anisotropic elastic coefficient
14;number_slip_families;integer;N_fam;1;flow_rule;optional;never;always;-;0.1.0;flow_rule: number of slip system families
15;number_slip_systems;integer(N_fam);N_slip;12;flow_rule;always;always;always;-;0.1.0;flow rule: number of slip systems
16;space_group_number;integer;spc_grp;0;flow_rule;always;always;always;-;0.1.0;space group number for generic material models (legacy: material_id for specific pre-defined materials)
17;reference_shear_rate;real(N_fam);shrt0;0,001;flow_rule;always;always;always;1/s;0.1.0;flow rule:reference shear rate
